"date","primary_location","num_intros"
2020-01-01,"Algeria",0
2020-01-01,"Argentina",0
2020-01-01,"Austria",0
2020-01-01,"Bangladesh",0
2020-01-01,"Belgium",0
2020-01-01,"Brazil",0
2020-01-01,"Canada",0
2020-01-01,"Chile",0
2020-01-01,"China",0.0124595899467308
2020-01-01,"Colombia",0
2020-01-01,"Czechia",0
2020-01-01,"Denmark",0
2020-01-01,"Dominican Republic",0
2020-01-01,"Ecuador",0
2020-01-01,"Egypt",0
2020-01-01,"Finland",0
2020-01-01,"France",0
2020-01-01,"Germany",0
2020-01-01,"Greece",0
2020-01-01,"Hungary",0
2020-01-01,"India",0
2020-01-01,"Indonesia",0
2020-01-01,"Iran",0
2020-01-01,"Iraq",0
2020-01-01,"Ireland",0
2020-01-01,"Israel",0
2020-01-01,"Italy",0
2020-01-01,"Japan",0
2020-01-01,"Korea, South",0
2020-01-01,"Malaysia",0
2020-01-01,"Mexico",0
2020-01-01,"Moldova",0
2020-01-01,"Morocco",0
2020-01-01,"Netherlands",0
2020-01-01,"Norway",0
2020-01-01,"other",0
2020-01-01,"Pakistan",0
2020-01-01,"Panama",0
2020-01-01,"Peru",0
2020-01-01,"Philippines",0
2020-01-01,"Poland",0
2020-01-01,"Portugal",0
2020-01-01,"Romania",0
2020-01-01,"Russia",0
2020-01-01,"Saudi Arabia",0
2020-01-01,"Serbia",0
2020-01-01,"South Africa",0
2020-01-01,"Spain",0
2020-01-01,"Sweden",0
2020-01-01,"Switzerland",0
2020-01-01,"Turkey",0
2020-01-01,"Ukraine",0
2020-01-01,"United Arab Emirates",0
2020-01-01,"US",0
2020-01-02,"Algeria",0
2020-01-02,"Argentina",0
2020-01-02,"Austria",0
2020-01-02,"Bangladesh",0
2020-01-02,"Belgium",0
2020-01-02,"Brazil",0
2020-01-02,"Canada",0
2020-01-02,"Chile",0
2020-01-02,"China",0.0272823100912197
2020-01-02,"Colombia",0
2020-01-02,"Czechia",0
2020-01-02,"Denmark",0
2020-01-02,"Dominican Republic",0
2020-01-02,"Ecuador",0
2020-01-02,"Egypt",0
2020-01-02,"Finland",0
2020-01-02,"France",0
2020-01-02,"Germany",0
2020-01-02,"Greece",0
2020-01-02,"Hungary",0
2020-01-02,"India",0
2020-01-02,"Indonesia",0
2020-01-02,"Iran",0
2020-01-02,"Iraq",0
2020-01-02,"Ireland",0
2020-01-02,"Israel",0
2020-01-02,"Italy",0
2020-01-02,"Japan",0
2020-01-02,"Korea, South",0
2020-01-02,"Malaysia",0
2020-01-02,"Mexico",0
2020-01-02,"Moldova",0
2020-01-02,"Morocco",0
2020-01-02,"Netherlands",0
2020-01-02,"Norway",0
2020-01-02,"other",0
2020-01-02,"Pakistan",0
2020-01-02,"Panama",0
2020-01-02,"Peru",0
2020-01-02,"Philippines",0
2020-01-02,"Poland",0
2020-01-02,"Portugal",0
2020-01-02,"Romania",0
2020-01-02,"Russia",0
2020-01-02,"Saudi Arabia",0
2020-01-02,"Serbia",0
2020-01-02,"South Africa",0
2020-01-02,"Spain",0
2020-01-02,"Sweden",0
2020-01-02,"Switzerland",0
2020-01-02,"Turkey",0
2020-01-02,"Ukraine",0
2020-01-02,"United Arab Emirates",0
2020-01-02,"US",0
2020-01-03,"Algeria",0
2020-01-03,"Argentina",0
2020-01-03,"Austria",0
2020-01-03,"Bangladesh",0
2020-01-03,"Belgium",0
2020-01-03,"Brazil",0
2020-01-03,"Canada",0
2020-01-03,"Chile",0
2020-01-03,"China",0.0398412004250922
2020-01-03,"Colombia",0
2020-01-03,"Czechia",0
2020-01-03,"Denmark",0
2020-01-03,"Dominican Republic",0
2020-01-03,"Ecuador",0
2020-01-03,"Egypt",0
2020-01-03,"Finland",0
2020-01-03,"France",0
2020-01-03,"Germany",0
2020-01-03,"Greece",0
2020-01-03,"Hungary",0
2020-01-03,"India",0
2020-01-03,"Indonesia",0
2020-01-03,"Iran",0
2020-01-03,"Iraq",0
2020-01-03,"Ireland",0
2020-01-03,"Israel",0
2020-01-03,"Italy",0
2020-01-03,"Japan",0
2020-01-03,"Korea, South",0
2020-01-03,"Malaysia",0
2020-01-03,"Mexico",0
2020-01-03,"Moldova",0
2020-01-03,"Morocco",0
2020-01-03,"Netherlands",0
2020-01-03,"Norway",0
2020-01-03,"other",0
2020-01-03,"Pakistan",0
2020-01-03,"Panama",0
2020-01-03,"Peru",0
2020-01-03,"Philippines",0
2020-01-03,"Poland",0
2020-01-03,"Portugal",0
2020-01-03,"Romania",0
2020-01-03,"Russia",0
2020-01-03,"Saudi Arabia",0
2020-01-03,"Serbia",0
2020-01-03,"South Africa",0
2020-01-03,"Spain",0
2020-01-03,"Sweden",0
2020-01-03,"Switzerland",0
2020-01-03,"Turkey",0
2020-01-03,"Ukraine",0
2020-01-03,"United Arab Emirates",0
2020-01-03,"US",0
2020-01-04,"Algeria",0
2020-01-04,"Argentina",0
2020-01-04,"Austria",0
2020-01-04,"Bangladesh",0
2020-01-04,"Belgium",0
2020-01-04,"Brazil",0
2020-01-04,"Canada",0
2020-01-04,"Chile",0
2020-01-04,"China",0.0548897653965162
2020-01-04,"Colombia",0
2020-01-04,"Czechia",0
2020-01-04,"Denmark",0
