cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
A_DTA_MCC_13,6,2020.20822813095,2020-03-17,2020.22404371585,2020.42076502732,A-DTA-20200818.combined.MCC.tree,0.75,2020.22204594735,2020.18597732514,2020.22383188342,2020.16245383473
A_DTA_MCC_15,2,2020.31431644654,2020-04-25,2020.3825136612,2020.42076502732,A-DTA-20200818.combined.MCC.tree,0.75,2020.34940971699,2020.26619238592,2020.36373205837,2020.25082772275
A_DTA_MCC_16,4,2020.18277443899,2020-03-08,2020.20218579235,2020.25956284153,A-DTA-20200818.combined.MCC.tree,0.75,2020.19762530012,2020.16529915072,2020.19927894016,2020.15104426175
A_DTA_MCC_18,4,2020.25093926715,2020-04-02,2020.25409836066,2020.2650273224,A-DTA-20200818.combined.MCC.tree,0.75,2020.25407450094,2020.23201337538,2020.25407450094,2020.21265123583
A_DTA_MCC_19,2,2020.22500898057,2020-03-23,2020.22950819672,2020.2349726776,A-DTA-20200818.combined.MCC.tree,0.75,2020.22950776367,2020.21066229774,2020.22950776367,2020.19872263937
A_DTA_MCC_20,2,2020.22323791687,2020-03-23,2020.23224043716,2020.2349726776,A-DTA-20200818.combined.MCC.tree,0.75,2020.23114378358,2020.21505875388,2020.23114378358,2020.21505875388
A_DTA_MCC_22,5,2020.24655551483,2020-03-31,2020.25136612022,2020.31967213115,A-DTA-20200818.combined.MCC.tree,0.75,2020.25135741917,2020.22420521044,2020.25135741917,2020.20047486418
A_DTA_MCC_24,4,2020.21682798577,2020-03-20,2020.22404371585,2020.25683060109,A-DTA-20200818.combined.MCC.tree,0.75,2020.22398271889,2020.19942907629,2020.22403606009,2020.16972740188
A_DTA_MCC_28,2,2020.23617296868,2020-03-27,2020.24043715847,2020.24590163934,A-DTA-20200818.combined.MCC.tree,0.75,2020.23905286337,2020.22009957405,2020.23905286337,2020.22009957405
A_DTA_MCC_3,5,2020.19982353602,2020-03-14,2020.20765027322,2020.22950819672,A-DTA-20200818.combined.MCC.tree,0.75,2020.20719146455,2020.1845001389,2020.20760313174,2020.17098094787
A_DTA_MCC_30,2,2020.2235305144,2020-03-23,2020.23770491803,2020.25683060109,A-DTA-20200818.combined.MCC.tree,0.75,2020.23557687581,2020.20882875277,2020.23690816928,2020.18795462139
A_DTA_MCC_32,4,2020.26421191911,2020-04-07,2020.27049180328,2020.29234972678,A-DTA-20200818.combined.MCC.tree,0.75,2020.26974519879,2020.25381412532,2020.26974519879,2020.24557587966
A_DTA_MCC_35,2,2020.26736589152,2020-04-08,2020.27322404372,2020.30601092896,A-DTA-20200818.combined.MCC.tree,0.75,2020.27317673897,2020.25671055554,2020.27317673897,2020.25671055554
A_DTA_MCC_37,4,2020.26171554252,2020-04-06,2020.28415300546,2020.31693989071,A-DTA-20200818.combined.MCC.tree,0.75,2020.27916483314,2020.24775726848,2020.28060227262,2020.22047968254
A_DTA_MCC_41,3,2020.2008117899,2020-03-14,2020.21584699454,2020.21584699454,A-DTA-20200818.combined.MCC.tree,0.75,2020.21172119047,2020.18941996596,2020.21232830668,2020.17499793122
A_DTA_MCC_42,3,2020.20941856706,2020-03-18,2020.22677595628,2020.24043715847,A-DTA-20200818.combined.MCC.tree,0.75,2020.22159145218,2020.1798879577,2020.22575368757,2020.16774787522
